Time,Farmer,Incidence
1,1,12.5
1,2,15
1,3,12.5
1,4,12.5
1,5,7.5
1,6,10
1,7,7.5
1,8,10
1,9,12.5
1,10,17.5
1,11,10
1,12,7.5
1,13,7.5
1,14,7.5
1,15,5
1,16,7.5
1,17,7.5
1,18,7.5
2,1,37.5
2,2,32.5
2,3,30
2,4,37.5
2,5,27.5
2,6,32.5
2,7,25
2,8,27.5
2,9,22.5
2,10,30
2,11,22.5
2,12,30
2,13,30
2,14,22.5
2,15,17.5
2,16,27.5
2,17,30
2,18,22.5
3,1,55
3,2,50
3,3,52.5
3,4,55
3,5,42.5
3,6,50
3,7,32.5
3,8,40
3,9,30
3,10,37.5
3,11,37.5
3,12,47.5
3,13,47.5
3,14,32.5
3,15,30
3,16,35
3,17,50
3,18,35
4,1,62.5
4,2,57.5
4,3,62.5
4,4,67.5
4,5,52.5
4,6,60
4,7,40
4,8,45
4,9,40
4,10,45
4,11,50
4,12,55
4,13,62.5
4,14,42.5
4,15,40
4,16,45
4,17,55
4,18,45
5,1,70
5,2,62.5
5,3,67.5
5,4,70
5,5,62.5
5,6,65
5,7,45
5,8,50
5,9,50
5,10,52.5
5,11,57.5
5,12,60
5,13,70
5,14,47.5
5,15,45
5,16,50
5,17,57.5
5,18,50
6,1,72
6,2,70
6,3,72.5
6,4,74.5
6,5,67.5
6,6,70
6,7,50
6,8,53.5
6,9,56
6,10,57.5
6,11,62.5
6,12,64.5
6,13,73.5
6,14,52.5
6,15,50
6,16,53.5
6,17,62.5
6,18,55
7,1,82
7,2,73
7,3,76
7,4,82
7,5,77
7,6,77
7,7,60.5
7,8,59.5
7,9,57
7,10,67
7,11,66
7,12,70
7,13,79
7,14,58.5
7,15,55
7,16,58
7,17,71
7,18,59
